filename,beverage_type,brand_name,fanciful_name,class_type,alcohol_content,net_contents,applicant_address,origin,country,formula_id,appellation,vintage
persian-empire-black-widow-distilled-spirits.webp,distilled-spirits,Persian Empire,Black Widow,other specialties & proprietaries,40% Alc./Vol.,750 mL,,imported,canada,,,
persian-empire-arak-distilled-spirits.webp,distilled-spirits,Persian Empire,Arak ,arack/raki,40% Alc./Vol.,750 mL,,imported,canada,,,
simply-elegant-simply-elegant-spirits-distilled-spirits.webp,distilled-spirits,Simply Elegant,Simply Elegant Spirits,straight bourbon whisky,67% Alc./Vol.,750 mL,,domestic,,,,
crafy-elk-cranberry-blueberry-acai-distilled-spirits.webp,distilled-spirits,Crafy Elk,"Cranberry, Blueberry, & Acai",vodka specialties,4.5% Alc./Vol.,750 mL,,domestic,,,,
leitz-rottland-wine.webp,wine,Leitz,Rottland,table white wine,12.5% Alc./Vol.,750 mL,,imported,germany,,Rheingau,2023
leitz-magdalenenkreuz-wine.webp,wine,Leitz,Magdalenenkreuz,table white wine,8% Alc./Vol.,750 mL,,imported,germany,,Rheingau,2025
leitz-klosterlay-wine.webp,wine,Leitz,Klosterlay,table white wine,8.5% Alc./Vol.,750 mL,,imported,germany,,Rheingau,2025
uncorked-in-mayberry-otis-own-wine.webp,wine,Uncorked In Mayberry,Otis' Own,table white wine,12.5% Alc./Vol.,750 mL,,domestic,,,North Carolina,
lake-placid-shredder-malt-beverage.webp,malt-beverage,Lake Placid,Shredder,ale,,12 FL OZ,,domestic,,,,
lake-placid-ridge-runner-malt-beverage.webp,malt-beverage,Lake Placid,Ridge Runner,ale,4% Alc./Vol.,12 FL OZ,,domestic,,,,
recluse-brew-works-shy-guy-malt-beverage.webp,malt-beverage,Recluse Brew Works,Shy Guy,beer,6.5% Alc./Vol.,12 FL OZ,,domestic,,,,
pleasant-prairie-brewing-peach-sour-ale-malt-beverage.webp,malt-beverage,Pleasant Prairie Brewing,Peach Sour Ale,malt beverages specialities - flavored,5.9% Alc./Vol.,12 FL OZ,,domestic,,,,
crafty-elk-mango-honey-distilled-spirits.webp,distilled-spirits,Crafty Elk,Mango & Honey,vodka specialties,4.5% Alc./Vol.,750 mL,,domestic,,,,
the-wine-trust-rum-distilled-spirits.webp,distilled-spirits,The Wine Trust,Rum,other rum gold fb,60% Alc./Vol.,750 mL,,imported,trinidad/tobago,,,
flaviar-columbia-creek-tennessee-whiskey-distilled-spirits.webp,distilled-spirits,Flaviar,Columbia Creek Tennessee Whiskey,whisky,47.8% Alc./Vol.,750 mL,,domestic,,,,
old-station-31-orange-distilled-spirits.webp,distilled-spirits,Old Station 31,Orange,vodka - orange flavored,40% Alc./Vol.,750 mL,,domestic,,,,
west-peak-tequila-paloma-distilled-spirits.webp,distilled-spirits,West Peak,Tequila Paloma,other specialties & proprietaries,6% Alc./Vol.,750 mL,,domestic,,,,
stormwood-wines-semillon-wine.webp,wine,Stormwood Wines,Semillon,table white wine,13% Alc./Vol.,750 mL,,imported,new zealand,,Waiheke Island,2025
forlorn-hope-san-hercurmer-delle-frecce-wine.webp,wine,Forlorn Hope,San Hercurmer Delle Frecce,table red wine,12.5% Alc./Vol.,750 mL,,domestic,,,Sierra Foothills,2020
manzone-giovanni-barolo-perno-wine.webp,wine,Manzone Giovanni,Barolo Perno,table red wine,13.5% Alc./Vol.,750 mL,,imported,italy,,Barolo,1998
ana-luisa-gran-reserva-parcelas-blend-wine.webp,wine,Ana Luisa,Gran Reserva Parcelas Blend,table red wine,14% Alc./Vol.,750 mL,,imported,chile,,Valle De Curico,2023
carousel-winery-fairy-floss-cotton-candy-wine.webp,wine,Carousel Winery,Fairy Floss Cotton Candy,table flavored wine,9% Alc./Vol.,750 mL,,domestic,,,American,
venture-studios-null-wine.webp,wine,Venture Studios,,table white wine,14% Alc./Vol.,750 mL,,imported,france,,,
sapwood-cellars-albura-lager-malt-beverage.webp,malt-beverage,Sapwood Cellars,Albura Lager,beer,4.6% Alc./Vol.,12 FL OZ,,domestic,,,,
drekker-brewing-company-piano-necktie-malt-beverage.webp,malt-beverage,Drekker Brewing Company,Piano Necktie,ale,6.5% Alc./Vol.,12 FL OZ,,domestic,,,,
pilok-broumy-malt-beverage.webp,malt-beverage,Pilok,Broumy,beer,4.8% Alc./Vol.,12 FL OZ,,imported,czech republic,,,
1840-original-lager-1840-original-lager-malt-beverage.webp,malt-beverage,1840 Original Lager,1840 Original Lager,beer,,12 FL OZ,,domestic,,,,
harpoon-ale-malt-beverage.webp,malt-beverage,Harpoon,Ale,ale,5% Alc./Vol.,12 FL OZ,,domestic,,,,
